Form-Description,Location
Application form,"https://drive.google.com/drive/folders/1u8zl2WJTvDSGgx26UQRRx4pmAJ7bpO6m
"
VÉLO-VANIER 2018,"https://photos.google.com/u/1/share/AF1QipP_3zkoXIF2WBrSW6pPYE8tou5WCvNtHFKj8lhup_No-G19eWIp9iGbbTQ2gxBBMg?key=V2prdXdaYnJjSkZyQkxrdVJ2dy1CaXZZbWE5Rm13
N.B. Photos of those who do not wish to have their photos published on the Internet, are stored in Sharepoint."
Inventory Tracking  (not shared),
All  bikes ,https://photos.google.com/u/1/share/AF1QipMXovnh4Tulj96nRaJRzCvt-xADzuBHdPk5IBxcq8ct8bojoQRWVL-Kyxov_ZHcXQ?key=ekI4ZjlWVHB5ajYydU9kblhTTlFrWEM3XzlVcUN3
Available,https://photos.google.com/u/1/share/AF1QipON869JriM6x2FehYKILP1WIOzKikdZpxfi8wrBihfldqLty7xG7CxfbLcx5VrgRw?key=RXBCa3lJNjllT0lEdW1Md0g4dUtSRnhPMkxGMl93
Strip / Disposal/Trade in,"
https://photos.google.com/u/1/album/AF1QipN01IUCx4Ap1C9dU2Hiq41JOVfC854mJ5fz2nc2?key=CLXb_J_jzKn6-gE"
MIA 2018,https://photos.google.com/u/1/album/AF1QipOXJm4HM3V6B-r0QjQXyp5_21veYUBKOl8SVbIt
"Data tracked via folders: “Test,” “Repair” and “Hold” are now tracked by Velo-Vanier Operations Log",
Velo-Vanier Operations Log,"https://drive.google.com/open?id=1AhM_8T5HlR9uxXbepAWjLhNxmQLTp8wT
"
Locks,https://photos.google.com/u/1/share/AF1QipPEcx0ZSV_YrIzpBBZKEQKnaTwBSKL_8XcnbNjYk2S3C8xx95ietNuGLR_pXLEIqw?key=eS1rclRjcW90OHgtWWxnX3QyYXFQd1ZvZ1M2S093
"Tools
",https://photos.google.com/u/1/share/AF1QipOtiVPup0R6sIif7upyPraNw3BJgd-bZkagkUXghGS1yyizA-v3zqoL7y6bp_sBAw?key=c1Zsa0ZsLThZOTFLM1dOMEc2Qk80X28xWlpsTnp3
Repair,https://photos.google.com/u/1/share/AF1QipPSj-wvLWDqeRvoHIaCCFzYIalmfyhVnnvestC3Dzf6drrsaCAg7nNIP3wREqi92Q?key=Rlo0Q25kc01xa0ZxUHBkQTFPRlRpN3RuMFU2b3lR
Test,https://photos.google.com/u/1/share/AF1QipPj0In5WAKVVrU9H5a7nKu3sQhg7jhprS3VpXgAfNKt13pxypABepuqQJV18H-iWQ?key=d0t6Ui1lTEZYWFl1VmxTMGVOZGQycE44MEVOTVlR
On Hold,https://photos.google.com/u/1/share/AF1QipMbqiwYVj5_VZgjEAanje6NbcSNvMPP514VA4DhgmTe3bRFAg2rNy4Wlszvr1kQIw?key=azVVdWVJZVFuMlg1OGhIVmJyVExfd1RJNHp5SEZn
